Date,ETF,In,Out
6/26/2012,VIFSX,10.76,10.78
7/10/2012,VBSSX,10.65,10.67
7/23/2012,VTSSX,32.42,34.63
9/11/2012,VSBSX,20.34,20.33
11/27/2012,VIFSX,106.94,107.8
12/4/2012,VGSH,60.98,60.91
4/22/2013,VBR,79.58,82.76
5/6/2013,VOE,69.26,71.46
5/20/2013,BIL,91.6,91.56
2/10/2014,VOE,78.08,80.71
2/21/2014,BIL,91.54,91.54
4/7/2014,VOE,81.48,87.49
7/7/2014,BIL,91.54,91.52
8/4/2014,VTV,80.28,82.66
11/3/2014,VOT,99.53,102.35
11/24/2014,BIL,91.5,91.46
2/2/2015,VOE,88.31,92.74
2/23/2015,BIL,91.46,91.46
3/23/2015,VOT,108.6,108.28
5/11/2015,BIL,91.42,91.4
5/23/2016,VOT,99.76,102.82
6/6/2016,BIL,91.44,91.44
7/5/2016,VOT,101.23,104.21
7/11/2016,BIL,91.44,91.4
4/10/2017,VBK,139.51,142.75
5/15/2017,BIL,91.44,91.46
11/5/2018,VOE,107.4,113.52
7/29/2019,BIL,91.6,91.51
